date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2010-01-02	0	0	-1	2	7	0.0	26:47	6	0	
2010-01-05	0	0	0	0	3	0.0	23:05	6	0	
2010-01-07	1	2	4	2	10	10.0	20:09	3	1	
2010-01-09	0	1	2	2	6	0.0	17:44	1	0	
2010-01-12	0	2	-1	6	3	0.0	21:37	2	0	100.0
2010-01-13	1	0	0	0	4	25.0	25:32	3	0	
2010-01-15	1	4	3	0	2	50.0	17:50	2	0	
2010-01-17	1	1	2	0	4	25.0	17:30	3	0	
2010-01-19	0	1	-1	0	0		22:13	2	0	
2010-01-21	2	1	2	0	8	25.0	20:49	7	0	0.0
2010-01-23	1	1	1	0	6	16.7	22:56	4	1	
2010-01-26	0	0	0	0	10	0.0	20:51	0	0	0.0
2010-01-27	1	2	2	0	4	25.0	20:56	2	0	
2010-01-29	0	1	2	0	5	0.0	17:27	1	1	
2010-01-31	1	1	1	0	6	16.7	20:35	1	0	
2010-02-02	1	0	1	2	2	50.0	21:20	0		
2010-02-04	2	1	1	0	5	40.0	24:40	2	1	
2010-02-05	1	1	1	0	5	20.0	21:27	0	0	
2010-02-07	3	1	3	2	6	50.0	25:36	3	0	
2010-02-10	0	2	1	0	8	0.0	29:30	2	0	
2010-02-11	0	1	1	2	1	0.0	27:42	2	0	
2010-02-13	0	0	0	0	8	0.0	25:20	2	0	
2010-03-03	0	0	0	0	4	0.0	18:42	3	0	0.0
2010-03-04	0	1	0	0	3	0.0	18:36	1	2	
2010-03-06	0	0	0	0	7	0.0	23:27	2	0	
2010-03-08	2	0	0	0	10	20.0	26:00	6	1	
2010-03-10	0	2	-1	0	5	0.0	21:23	3	0	
2010-03-12	0	2	-1	0	1	0.0	22:32	2	0	
2010-03-14	0	0	0	15	1	0.0	4:50	1	0	
2010-03-20	1	0	1	0	7	14.3	22:52	1	0	
2010-03-24	0	1	2	0	4	0.0	22:52	5	1	100.0
2010-03-25	0	0	0	2	6	0.0	22:53	0	0	
2010-03-28	1	1	-1	0	7	14.3	26:32	4	3	
2010-03-30	0	1	0	0	5	0.0	28:28	1	0	
2010-04-01	0	1	0	2	5	0.0	19:49	3	0	
2010-04-03	0	0	-2	0	2	0.0	23:50	1	0	
2010-04-05	0	2	1	0	6	0.0	18:14	3	0	100.0
2010-04-06	2	0	1	2	4	50.0	19:22	2	1	0.0
2010-04-09	2	1	3	0	3	66.7	23:11	0	0	
2010-04-11	0	0	-1	2	5	0.0	25:55	2	1	0.0
2010-10-08	0	1	0	0	8	0.0	23:21	3	1	
2010-10-09	2	1	2	0	5	40.0	19:17	2	1	0.0
2010-10-11	1	0	0	4	3	33.3	22:38	2	0	
2010-10-13	1	1	1	0	3	33.3	21:31	1	0	
2010-10-16	0	1	-1	2	3	0.0	23:29	3	0	
2010-10-19	0	0	-2	0	5	0.0	23:36	6	0	
2010-10-21	0	0	-1	0	8	0.0	25:53	5	0	
2010-10-23	0	0	0	2	6	0.0	24:17	9	0	
2010-10-27	0	1	1	2	5	0.0	17:09	0		
2010-10-28	1	0	1	0	4	25.0	20:43	4	0	
2010-10-30	2	1	1	0	7	28.6	18:33	4	0	0.0
2010-11-03	0	2	-1	0	3	0.0	23:11	3	1	
2010-11-05	1	1	1	2	3	33.3	22:28	0	2	0.0
2010-11-07	0	1	0	0	6	0.0	23:02	4	0	
2010-11-09	0	2	1	0	3	0.0	21:51	4	0	100.0
2010-11-11	1	2	4	0	2	50.0	17:47	2	0	
2010-11-13	0	0	-1	0	1	0.0	17:38	5	0	
2010-11-14	1	1	0	0	1	100.0	17:52	3	0	
2010-11-17	0	0	1	2	4	0.0	19:04	4	0	
2010-11-19	0	0	-2	0	3	0.0	22:40	1	0	100.0
2010-11-20	0	1	-1	0	3	0.0	22:51	1	0	
2010-11-22	0	0	0	2	5	0.0	23:06	5	0	
2010-11-24	0	3	2	0	10	0.0	21:55	5	0	
2010-11-26	0	2	1	0	1	0.0	18:58	3	1	
2010-11-28	0	1	1	2	7	0.0	21:27	1	0	
2010-12-01	0	1	2	0	3	0.0	18:52	4	0	
2010-12-02	0	0	0	2	5	0.0	22:27	3	0	
2010-12-04	1	0	0	0	6	16.7	25:38	2	0	0.0
2010-12-06	1	0	-1	0	5	20.0	20:21	3	0	0.0
2010-12-09	0	0	-1	0	5	0.0	22:33	2	0	
2010-12-11	0	1	1	0	3	0.0	23:51	5	0	
2010-12-12	0	0	-1	5	4	0.0	16:00	7	0	
2010-12-15	0	0	-1	0	6	0.0	25:14	0	0	
2010-12-18	0	1	-1	0	7	0.0	23:54	6	0	
2010-12-19	0	1	1	0	2	0.0	20:47	0	0	0.0
