date time	display name	content
2017-01-11 04:58:19-05:00	Anthony Bitetto	Huge Congrats to @PeteWeberSports for your 2000 game! https://t.co/lbZOdvVBg9
2017-01-09 23:07:01-05:00	Anthony Bitetto	It's Tiger Time... #BeatBama
2017-01-06 03:59:32-05:00	Anthony Bitetto	Nothing better then being back out there. Huge win and big congrats to my boy @colton_es15 first hatty #StayHot
2017-01-04 05:43:48-05:00	Anthony Bitetto	Always a pleasure! https://t.co/Kh4TSbPquP
2016-12-25 15:23:15-05:00	Anthony Bitetto	Merry Christmas!
2016-12-12 04:33:33-05:00	Anthony Bitetto	Hey @PKSubban1 any chance you know the score to the Giants game? #SeeYaa
2016-12-12 03:43:18-05:00	Anthony Bitetto	Boom! #OBJ
2016-11-03 04:55:29-04:00	Anthony Bitetto	Cubs, just one in a century team!
2016-11-03 03:14:15-04:00	Anthony Bitetto	Ohh Myyy Gooddd!!!
2016-10-20 01:19:57-04:00	Anthony Bitetto	Couch Potato https://t.co/ElB45FUK2S
2016-10-14 01:46:35-04:00	Anthony Bitetto	Can't wait to get this year going! https://t.co/ZJFPHm4tvf
2016-10-06 03:17:31-04:00	Anthony Bitetto	Typical mets 😂😂😂
2016-09-25 23:12:46-04:00	Anthony Bitetto	Your Welcome! https://t.co/GVVsEPggjk
2016-09-11 13:14:53-04:00	Anthony Bitetto	Another Summer In The Books, Nashville Here We Come  cfieldsy https://t.co/8u48gtekAj
2016-09-09 02:35:36-04:00	Anthony Bitetto	🔥🔥🔥 #Yanks
2016-09-08 02:01:40-04:00	Anthony Bitetto	Love getting those brooms out @bgwalker18 #Sweep🇨🇦
2016-09-07 02:33:37-04:00	Anthony Bitetto	The Bronx is buzzin.. @bgwalker18
2016-09-04 00:16:59-04:00	Anthony Bitetto	What ya say @JoeCannisi #ALLIN 🐾
2016-08-24 17:06:58-04:00	Anthony Bitetto	Great mid-week day trip before Heading to Nashville! cfieldsy https://t.co/86v9huISGv
2016-08-21 04:40:54-04:00	Anthony Bitetto	The King Is Back !🇨🇮
2016-07-13 00:06:52-04:00	Anthony Bitetto	Really thought it would've been aliens that found there way to earth, not Pokemon's #Yessh
2016-07-04 20:13:48-04:00	Anthony Bitetto	Happy 4th! 🇺🇸
2016-07-02 19:39:55-04:00	Anthony Bitetto	Happy 4th Weekend! https://t.co/Jpgvhc5zu3
2016-06-25 01:13:39-04:00	Anthony Bitetto	Congrats kid! Enjoy it. Well deserved. #LongIslandBoys @CMcAvoy44
2016-06-20 01:01:02-04:00	Anthony Bitetto	Happy Father's Day !!
2016-06-09 18:44:22-04:00	Anthony Bitetto	Best spot around! Nothing like getting treatment and work in @ProSportsCareLI @JoeCannisi https://t.co/n4ur2peDNC
2016-06-04 17:46:17-04:00	Anthony Bitetto	Well ..Here we go ..@VeuveClicquot @Cfieldsy #Ponies
2016-05-28 22:19:18-04:00	Anthony Bitetto	Squad! #Indy500 https://t.co/grD8GeqvK5
2016-05-27 20:51:36-04:00	Anthony Bitetto	Stay classy Indy #500 @JoeCannisi https://t.co/phyrFPUtjj
2016-05-20 14:03:27-04:00	Anthony Bitetto	Amazing first year! Can't thank the city and fans for all the support. Can't wait to get back.… https://t.co/CFGWuD5SNL
2016-05-14 15:41:17-04:00	Anthony Bitetto	Congrats @NickBitetto! College graduate today. Even a blind squirrel finds a nut once in a while ... #Congrats
2016-05-08 16:06:03-04:00	Anthony Bitetto	Happy Mother's Day!
2016-03-20 17:42:44-04:00	Anthony Bitetto	Huge congrats to @MikeMmcl @KeeferJ_ Jim Madigan and the rest of NU hockey! That @NUDoghouse must have been going nuts! #AlwaysReggie
2015-12-25 03:45:58-05:00	Anthony Bitetto	Glad I got to see this crew! #merrychristmas https://t.co/MYsfNePvVa
2015-12-22 17:31:56-05:00	Anthony Bitetto	Eagle has landed #Home
2015-12-06 19:25:54-05:00	Anthony Bitetto	A stroll down commonwealth... #Boston @colton_es15 https://t.co/hVqV4ziEWX
2015-11-24 15:46:04-05:00	Anthony Bitetto	Always good to see your buddies! teich83 cannisij #matty @amybellx3 https://t.co/bo8GBEfOrp
2015-11-08 17:40:14-05:00	Anthony Bitetto	Pretty pumped for my boy @JustinoDangles for his call up. #TheMecca
2015-11-02 05:10:21-05:00	Anthony Bitetto	Murphy? How much money you have on the series? #hahaha
2015-11-01 20:55:56-05:00	Anthony Bitetto	The New York Football Giants #WhatAGame
2015-10-14 22:59:17-04:00	Anthony Bitetto	Always a pleasure going to get some new suits @mrrobbiesuits @carterhutton vicbartley64 #Thanks https://t.co/z6AHzZAJLn
2015-10-14 15:09:51-04:00	Anthony Bitetto	This place never gets old #home http://t.co/JBJi3OgVyx
2015-10-12 18:06:51-04:00	Anthony Bitetto	First road trip of the year. Here we go! http://t.co/d4xtt96iNi
2015-10-10 02:47:27-04:00	Anthony Bitetto	Happy I got to see @NickBitetto and @OleMissHockey play. Just forgot how cold it gets in these rinks. http://t.co/2kGT0xaqEp
2015-10-09 23:07:05-04:00	Anthony Bitetto	Nice to be able to finally get to see @NickBitetto and @OleMissHockey play tonight! #GoodLuck
2015-10-07 02:27:25-04:00	Anthony Bitetto	The ghost better wake up in the Bronx
2015-10-02 02:09:09-04:00	Anthony Bitetto	Vick is throwing darts
2015-09-05 20:30:12-04:00	Anthony Bitetto	Unbelievable summer! Can't thank @PrentissHockey enough for this off-season. Off to Nashville! @JustinoDangles http://t.co/eB3M6YMLbD
